english,persian,category,subcategory,frequency,alternate_names
Major Depressive Disorder,اختلال افسردگی اساسی,disorder,mood,1,
Bipolar I Disorder,اختلال دوقطبی نوع اول,disorder,mood,1,
Bipolar II Disorder,اختلال دوقطبی نوع دوم,disorder,mood,1,
Generalized Anxiety Disorder,اختلال اضطراب فراگیر,disorder,anxiety,1,
Anxiety Disorder,اختلال اضطراب,disorder,anxiety,1,
Panic Disorder,اختلال هراس,disorder,anxiety,1,
Obsessive-Compulsive Disorder,اختلال وسواسی-فکری فشار وری,disorder,ocd,1,
Post-Traumatic Stress Disorder,اختلال استرس پس از سانحه,disorder,trauma,1,PTSD
Schizophrenia,اسکیزوفرنیا,disorder,psychotic,1,
ADHD,اختلال کمبود توجه و فعالیت بیش,disorder,neurodevelopmental,1,
depressed,افسرده,symptom,mood,1,
sad,غمگین,symptom,mood,1,
anhedonia,بی‌لذتی,symptom,mood,1,
manic,مانیایی,symptom,mood,1,
mania,مانیا,symptom,mood,1,
irritability,تحریک‌پذیری,symptom,mood,1,
anxiety,اضطراب,symptom,anxiety,1,
panic,هراس,symptom,anxiety,1,
panic attacks,حملات هراس,symptom,anxiety,1,
excessive worry,نگرانی بیش‌از‌حد,symptom,anxiety,1,
obsession,وسواس,symptom,anxiety,1,
obsessions,وسواس‌ها,symptom,anxiety,1,
compulsion,فشار وری,symptom,anxiety,1,
compulsions,فشار‌وری‌ها,symptom,anxiety,1,
hallucinations,توهم‌های حسی,symptom,cognitive,1,
auditory hallucinations,توهم‌های شنوایی,symptom,cognitive,1,
visual hallucinations,توهم‌های بینایی,symptom,cognitive,1,
delusions,وهم‌ها,symptom,cognitive,1,
psychosis,روان‌پریشی,symptom,cognitive,1,
psychotic,روان‌پریشانه,symptom,cognitive,1,
paranoia,پارانویا,symptom,cognitive,1,
paranoid,پارانویایی,symptom,cognitive,1,
persecutory delusions,وهم‌های تعقیب,symptom,cognitive,1,
insomnia,بی‌خوابی,symptom,cognitive,1,
fatigue,خستگی,symptom,cognitive,1,
poor concentration,تمرکز ضعیف,symptom,cognitive,1,
memory problems,مشکلات یادی,symptom,cognitive,1,
confusion,سردرگمی,symptom,cognitive,1,
disorganized speech,سخن بی‌نظم,symptom,cognitive,1,
racing thoughts,فکرهای تند,symptom,cognitive,1,
suicidal ideation,اندیشه‌های خودکشی,symptom,behavioral,1,
suicidal attempt,تلاش خودکشی,symptom,behavioral,1,
homicidal ideation,اندیشه‌های قتل,symptom,behavioral,1,
self-harm,خود‌آسیب,symptom,behavioral,1,
aggression,تجاوز,symptom,behavioral,1,
agitation,تهیج,symptom,behavioral,1,
impulsivity,تکانه‌گرایی,symptom,behavioral,1,
social withdrawal,عقب‌نشینی اجتماعی,symptom,behavioral,1,
withdrawal,عقب‌نشینی,symptom,behavioral,1,
isolation,انزوای اجتماعی,symptom,behavioral,1,
avolition,بی‌انگیزگی,symptom,behavioral,1,
apathy,بی‌اعتنایی,symptom,behavioral,1,
hyperactivity,فعالیت بیش,symptom,behavioral,1,
inattention,بی‌توجهی,symptom,behavioral,1,
distractibility,حواس‌پرتی,symptom,behavioral,1,
headache,سردرد,symptom,physical,1,
chest pain,درد سینه,symptom,physical,1,
palpitations,تپش قلب,symptom,physical,1,
shortness of breath,تنگی نفس,symptom,physical,1,
tremor,لرزش,symptom,physical,1,
sweating,تعریق,symptom,physical,1,
appetite loss,کاهش اشتهای,symptom,physical,1,
weight loss,کاهش وزن,symptom,physical,1,
weight gain,افزایش وزن,symptom,physical,1,
dizziness,سرگیجه,symptom,physical,1,
nausea,تهوع,symptom,physical,1,
onset,شروع,diagnostic_criterion,,1,
duration,مدت,diagnostic_criterion,,1,
course,سیر,diagnostic_criterion,,1,
severity,شدت,diagnostic_criterion,,1,
functional impairment,ناکارآمدی کارکردی,diagnostic_criterion,,1,
mild,خفیف,severity_level,,1,
moderate,متوسط,severity_level,,1,
severe,شدید,severity_level,,1,
remission,بهبودی,course_modifier,,1,
relapse,عود,course_modifier,,1,
recovery,بهبودی,course_modifier,,1,
acute,حاد,course_modifier,,1,
chronic,مزمن,course_modifier,,1,
episodic,دوره‌ای,course_modifier,,1,
medication,دارو,treatment,,1,
medications,داروها,treatment,,1,
antidepressant,داروی ضد افسردگی,treatment,,1,
antidepressants,داروی ضد افسردگی,treatment,,1,
antipsychotic,داروی ضد روان‌پریشی,treatment,,1,
antipsychotics,داروی ضد روان‌پریشی,treatment,,1,
anxiolytic,داروی ضد اضطراب,treatment,,1,
mood stabilizer,دارویی برای تثبیت خلق,treatment,,1,
mood stabilizers,دارویی برای تثبیت خلق,treatment,,1,
benzodiazepine,بنزودیازپین,treatment,,1,
benzodiazepines,بنزودیازپین,treatment,,1,
psychotherapy,روان‌درمانی,treatment,,1,
therapy,درمان,treatment,,1,
therapy sessions,جلسات درمان,treatment,,1,
cognitive behavioral therapy,درمان رفتاری‌شناختی,treatment,,1,
family therapy,درمان خانوادگی,treatment,,1,
group therapy,درمان گروهی,treatment,,1,
individual therapy,درمان فردی,treatment,,1,
hospitalization,بستری,treatment,,1,
inpatient,بیمار بستری,treatment,,1,
outpatient,بیمار سرپایی,treatment,,1,
medication adherence,تبعیت از درمان دارویی,treatment,,1,
compliance,تبعیت,treatment,,1,
side effects,عوارض جانبی,treatment,,1,
efficacy,اثر‌بخشی,treatment,,1,
psychosocial,روان‌اجتماعی,treatment,,1,
patient,بیمار,clinical_term,,1,
diagnosis,تشخیص,clinical_term,,1,
prognosis,پیش‌آگهی,clinical_term,,1,
differential diagnosis,تشخیص افتراقی,clinical_term,,1,
psychiatric,روان‌پزشکی,clinical_term,,1,
psychiatrist,روان‌پزشک,clinical_term,,1,
psychologist,روان‌شناس,clinical_term,,1,
comorbidity,همراهی اختلالات,clinical_term,,1,
comorbid,همراه,clinical_term,,1,
etiology,علت‌شناسی,clinical_term,,1,
genetic,ژنتیکی,clinical_term,,1,
environmental,محیطی,clinical_term,,1,
specifier,مشخص‌کننده,clinical_term,,1,
longitudinal,طولی,clinical_term,,1,
Persistent Depressive Disorder,اختلال افسردگی پایدار,disorder,mood,2,
Social Anxiety Disorder,اختلال اضطراب اجتماعی,disorder,anxiety,2,
Body Dysmorphic Disorder,اختلال بدشکلی بدن,disorder,ocd,2,
Acute Stress Disorder,اختلال استرس حاد,disorder,trauma,2,
Autism Spectrum Disorder,اختلال طیف خودکار,disorder,neurodevelopmental,2,
Borderline Personality Disorder,اختلال شخصیت مرزی,disorder,personality,2,
Substance Use Disorder,اختلال مصرف مواد,disorder,substance,2,
hypersomnia,خواب‌آلودگی بیش,symptom,cognitive,1,
concentration,تمرکز,symptom,cognitive,1,
memory loss,فراموشی,symptom,cognitive,1,
indecisiveness,تردید,symptom,cognitive,2,
dysphoria,دیسفوریا,symptom,mood,2,
lability,نوسان خلقی,symptom,mood,2,
emotional lability,نوسان احساسی,symptom,mood,2,
hopelessness,ناامیدی,symptom,mood,1,
worthlessness,بی‌ارزشی,symptom,mood,1,
guilt,گناه,symptom,mood,1,
elevated mood,خلق بالا,symptom,mood,1,
euphoria,خوشحالی بیش‌از‌حد,symptom,mood,2,
irritable mood,خلق تحریک‌شده,symptom,mood,1,
worry,نگرانی,symptom,anxiety,1,
nervousness,عصبانیت,symptom,anxiety,1,
restlessness,بی‌قراری,symptom,anxiety,1,
tension,کشیدگی,symptom,anxiety,1,
muscle tension,کشیدگی عضلانی,symptom,anxiety,1,
fear,ترس,symptom,anxiety,1,
phobia,فوبیا,symptom,anxiety,1,
hypervigilance,هوشیاری افزایش‌یافته,symptom,anxiety,1,
startle response,پاسخ جنقی,symptom,anxiety,1,
avoidance,دوری‌جویی,symptom,anxiety,1,
avoidant behavior,رفتار دوری‌جویانه,symptom,anxiety,1,
flight of ideas,پرتاب ایده‌ها,symptom,cognitive,2,
tangential speech,سخن مماسی,symptom,cognitive,2,
loosening of associations,شل‌شدگی ارتباطات,symptom,cognitive,2,
word salad,سالاد کلمات,symptom,cognitive,2,
circumstantial,پیرامونی,symptom,cognitive,2,
grandiose delusions,وهم‌های بزرگی,symptom,cognitive,2,
self-injurious behavior,رفتار خود‌آسیب‌رسان,symptom,behavioral,1,
aggressive,تجاوزکارانه,symptom,behavioral,1,
impulsive,تکانه‌ای,symptom,behavioral,1,
recklessness,بی‌احتیاطی,symptom,behavioral,1,
risky behavior,رفتار خطرناک,symptom,behavioral,1,
homicidal,قتل‌نامه,symptom,behavioral,1,
suicidal,خودکشی‌نامه,symptom,behavioral,1,
decreased motivation,کاهش انگیزه,symptom,behavioral,1,
catatonia,کاتاتونیا,symptom,behavioral,2,
waxy flexibility,انعطاف‌پذیری موم‌گونه,symptom,behavioral,2,
dyspnea,دیسپنه,symptom,physical,1,
sexual dysfunction,ناکارآمدی جنسی,symptom,physical,1,
decreased appetite,کاهش اشتهای,symptom,physical,1,
increased appetite,افزایش اشتهای,symptom,physical,1,
vertigo,ورتیگو,symptom,physical,1,
dependence,وابستگی,diagnostic_criterion,substance,1,
addiction,اعتیاد,diagnostic_criterion,substance,1,
withdrawal,ترک مواد,diagnostic_criterion,substance,1,
tolerance,تحمل‌پذیری,diagnostic_criterion,substance,1,
partial remission,بهبودی جزئی,course_modifier,,1,
full remission,بهبودی کامل,course_modifier,,1,
stimulant,داروی محرک,treatment,,1,
sedative,داروی آرام‌بخش,treatment,,1,
electroconvulsive therapy,درمان الکتروشوک,treatment,,2,
Specific Phobia,فوبیای خاص,disorder,anxiety,2,
Agoraphobia,آگورافوبیا,disorder,anxiety,2,
Adjustment Disorder,اختلال سازگاری,disorder,trauma,2,
Schizophreniform Disorder,اختلال شبه‌اسکیزوفرنی,disorder,psychotic,2,
Schizoaffective Disorder,اختلال سوگیرانه اسکیزوفرنی,disorder,psychotic,2,
Delusional Disorder,اختلال وهم,disorder,psychotic,2,
Brief Psychotic Disorder,اختلال روان‌پریشی کوتاه,disorder,psychotic,2,
Specific Learning Disorder,اختلال یادگیری خاص,disorder,neurodevelopmental,2,
Insomnia Disorder,اختلال بی‌خوابی,disorder,sleep,1,
Hypersomnolence Disorder,اختلال خواب‌آلودگی بیش,disorder,sleep,2,
